ef,m,ef_construct,k,recall,qps,latency,time_span_query_finished
64,8,64,1,0.9096,166.8086121,0.005994894314,2024-03-08 13:17:03
64,8,64,10,0.89368,161.5755913,0.006189053631,2024-03-08 13:17:48
64,8,64,100,0.826076,107.4786441,0.009304173946,2024-03-08 13:18:32
64,8,512,1,0.92,180.1757931,0.005550135136,2024-03-08 14:00:23
64,8,512,10,0.90872,162.7773286,0.006143361664,2024-03-08 14:01:08
64,8,512,100,0.845764,118.9812165,0.008404687977,2024-03-08 14:01:48
64,64,64,1,0.9704,165.3693148,0.006047071075,2024-03-08 14:14:51
64,64,64,10,0.96376,178.690617,0.005596264744,2024-03-08 14:15:35
64,64,64,100,0.927708,121.5074105,0.008229950714,2024-03-08 14:16:15
64,64,512,1,0.9812,150.2261474,0.006656630802,2024-03-08 15:38:00
64,64,512,10,0.9906,124.3907283,0.00803918438,2024-03-08 15:38:51
64,64,512,100,0.979576,67.76524226,0.01475682764,2024-03-08 15:39:49
512,8,64,1,0.958,105.9014697,0.009442739582,2024-03-08 15:57:21
512,8,64,10,0.97176,97.25609295,0.01028213215,2024-03-08 15:58:18
512,8,64,100,0.961068,63.47825862,0.01575342522,2024-03-08 15:59:17
512,8,512,1,0.9828,76.38870853,0.01309094,2024-03-08 16:45:13
512,8,512,10,0.99628,61.48957729,0.01626291876,2024-03-08 16:46:24
512,8,512,100,0.987288,68.01625261,0.01470236835,2024-03-08 16:47:22
512,64,64,1,0.9838259,59.55155903,0.009585689517,2024-03-08 16:47:22
512,64,64,10,0.9820528,39.52319976,0.03614092757,2024-03-08 16:52:34
512,64,64,100,0.9579597,27.52270516,0.0165691096,2024-03-08 16:54:58
512,64,512,1,0.9874638,32.4212332,0.009494307109,2024-03-08 17:02:45
512,64,512,10,0.9789587,13.53894321,0.02123380506,2024-03-08 17:04:19
512,64,512,100,0.97939271,5.510602431,0.01779275796,2024-03-08 17:09:08
,,,1,0.9916249,7.594971962,0.1520737323,2024-03-08 17:14:33
,,,10,0.9730518,5.097997563,0.1412354904,2024-03-08 17:17:47
,,,100,0.9856462,3.896507271,0.1453861985,2024-03-08 17:19:47