ef,m,ef_construct,k,recall,qps,latency,time_span_insert
64,8,64,1,0.9788,108.5816262,0.009209661293,2024-03-08 8:38:20
64,8,64,10,0.97556,134.9808618,0.007408457661,2024-03-08 8:39:07
64,8,512,100,0.936104,43.95339166,0.02275137281,2024-03-08 8:40:24
64,8,512,1,0.9932,112.6301153,0.008878620052,2024-03-08 9:19:54
64,8,512,10,0.98896,135.1825865,0.007397402477,2024-03-08 9:20:41
64,64,64,100,0.955724,49.01976069,0.02039993639,2024-03-08 9:21:54
64,64,64,1,0.9952,141.2580472,0.007079242706,2024-03-08 9:31:02
64,64,64,10,0.99468,143.9700401,0.006945889568,2024-03-08 9:31:48
64,64,512,100,0.984316,99.78346132,0.01002170086,2024-03-08 9:32:33
64,64,512,1,0.9976,131.5713594,0.007600438309,2024-03-08 10:36:10
64,64,512,10,0.9996,110.622478,0.009039754105,2024-03-08 10:37:01
512,8,64,100,0.998752,81.19803843,0.01231556845,2024-03-08 10:37:51
512,8,64,1,0.9488,65.37440998,0.01529650517,2024-03-08 10:45:57
512,8,64,10,0.95392,66.78933272,0.01497245083,2024-03-08 10:47:03
512,8,512,100,0.949132,59.59280237,0.01678055,2024-03-08 10:48:05
512,8,512,1,0.9964,69.83921853,0.01431860237,2024-03-08 11:25:29
512,8,512,10,0.9998,59.51244018,0.0168032095,2024-03-08 11:26:45
512,64,64,100,0.999132,54.21713933,0.01844435196,2024-03-08 11:27:51
512,64,64,1,0.9972,53.29576,0.01876321869,2024-03-08 11:38:43
512,64,64,10,0.99976,56.31476245,0.01775733318,2024-03-08 11:39:56
512,64,512,100,0.999756,51.59716134,0.01938091116,2024-03-08 11:41:04
512,64,512,1,0.9976,46.73375457,0.02139780998,2024-03-08 12:43:09
512,64,512,10,0.99972,46.76586025,0.02138311996,2024-03-08 12:44:31
,,,100,0.999976,42.74465723,0.02339473667,2024-03-08 12:45:49
,,,1,1,16.00832127,0.06246751194,2024-03-08 12:50:29
,,,10,0.99972,16.89640002,0.05918420486,2024-03-08 12:53:26
,,,100,0.999984,16.86921422,0.05927958393,2024-03-08 12:56:14